SpT,SpTnum,Teff,L,R,M,Mbol,BCv,Mv,B-V,Bt-Vt,G-V,Bp-Rp,G-Rp,M_G,b-y,U-B,V-Rc,V-Ic,V-Ks,J-H,H-Ks,Ks-W1,W1-W2,W1-W3,W1-W4,M_J,M_Ks,i-z,z-Y
M5V,75.0,3030,0.003019951720,0.199,0.16,11.02,-3.28,14.30,1.874,-,1.74,3.36,1.331,2.56,,1.24,1.446,3.277,5.94,0.580,0.311,,0.17,,,9.25,8.36,0.91,0.47
M5.5V,75.5,3000,0.001621810097,0.149,0.12,11.71,-3.80,15.51,1.91,-,2.01,3.70,1.371,3.50,,1.3,1.656,3.664,6.50,0.588,0.329,,0.19,,,9.93,9.01,1.13,0.52
M6V,76.0,2850,0.000954992586,0.127,0.10,12.26,-4.36,16.62,2.00,-,2.14,3.95,1.451,4.48,,1.3,1.950,4.13,7.30,0.605,0.352,,0.21,,,10.28,9.32,1.45,0.60
M6.5V,76.5,2710,0.000812830516,0.129,0.097,12.47,-4.60,17.07,2.06,-,2.64,4.41,1.481,4.32,,,2.003,4.31,7.60,0.609,0.364,,0.22,,,10.47,9.47,1.58,0.64
M7V,77.0,2650,0.000616595002,0.118,0.090,12.75,-5.06,17.81,2.06,-,2.98,4.75,1.521,4.83,,,2.180,4.45,8.05,0.613,0.386,,0.24,,,10.76,9.76,1.77,0.70
M7.5V,77.5,2600,0.000512861384,0.112,0.089,12.97,-5.46,18.42,2.17,-,3.03,4.77,1.541,5.33,,,2.160,4.56,8.45,0.650,0.422,,0.25,,,10.68,9.97,1.85,0.74
M8V,78.0,2500,0.000436515832,0.111,0.082,13.14,-5.70,18.84,2.20,-,3.08,4.80,1.571,5.73,,,2.150,4.64,8.73,0.670,0.450,,0.26,,,11.23,10.11,1.93,0.77
M8.5V,78.5,2440,0.000363078055,0.107,0.081,13.34,-5.80,19.14,,-,3.04,5.03,1.581,6.05,,,1.967,4.71,8.92,0.685,0.470,,0.265,,,11.45,10.22,1.96,0.80
M9V,79.0,2400,0.000269153480,0.095,0.079,13.67,-5.90,19.36,,-,3.00,4.78,1.591,6.29,,,1.890,4.75,9.00,0.749,0.480,,0.27,,,11.53,10.30,1.99,0.82
M9.5V,79.5,2320,0.000281838293,0.104,0.078,13.62,-6.13,19.75,,-,3.10,,1.631,6.33,,,2.510,4.79,9.30,0.826,0.505,,0.27,,,11.78,10.45,2.00,0.84
L0V,80.0,2250,0.000269153480,0.108,0.077,13.67,-6.33,20.0,,-,3.20,,1.681,6.36,,,,4.82,9.45,0.79,0.50,,0.27,,,11.84,10.55,2.01,0.86
L1V,81.0,2100,0.000199526231,0.107,0.076,13.99,-6.51,20.5,,,,,1.661,6.83,,,,4.91,9.70,0.80,0.54,,0.28,,,12.14,10.80,2.02,0.88
L2V,82.0,1960,0.000144543977,0.104,0.075,14.34,-6.56,20.9,,,,,1.691,7.24,,,,5.05,10.0,0.87,0.57,,0.28,,,12.34,10.90,2.04,0.90
L3V,83.0,1830,0.000104712855,0.102,,14.96,-6.74,21.7,,,,,1.701,7.76,,,,5.29,10.4,1.00,0.63,,0.29,,,12.93,11.30,2.10,0.92
L4V,84.0,1700,0.000077624712,0.102,,15.02,-7.28,22.3,,,,,1.741,8.32,,,,5.57,10.9,1.14,0.63,,0.30,,,13.17,11.40,2.20,0.94
L5V,85.0,1590,0.000057543994,0.100,,15.34,-7.76,23.1,,,,,1.711,8.86,,,,6.28,11.4,1.13,0.65,,0.32,,,13.60,11.82,2.33,0.97
L6V,86.0,1490,0.000043651583,0.099,,15.64,,,,,,,1.741,9.25,,,,,,1.08,0.64,,0.36,,,13.99,12.27,2.51,1.00
L7V,87.0,1410,0.000034673685,0.099,,15.89,,,,,,,2.111,9.30,,,,,,1.10,0.62,,0.41,,,14.34,12.62,2.71,1.04
L8V,88.0,1350,0.000028183829,0.097,,16.12,,,,,,,1.872,0.00,,,,,,1.14,0.63,,0.48,,,14.47,12.70,2.93,1.09
L9V,89.0,1300,0.000024547089,0.098,,16.27,,,,,,,,.,,,,,,1.10,0.63,,0.57,,,14.47,12.74,3.15,1.16
T0V,90.0,1260,0.000021877616,0.098,,16.39,,,,,,,,.,,,,,,1.02,0.54,,0.68,,,14.46,12.90,3.36,1.23
T1V,91.0,1230,0.000020417379,0.100,,16.47,,,,,,,,.,,,,,,1.02,0.45,,0.82,,,14.34,12.87,3.55,1.33
T2V,92.0,1200,0.000018620871,0.100,,16.57,,,,,,,,.,,,,,,0.86,0.27,,0.99,,,14.32,13.19,3.70,1.43
